Road User Type,(Multiple Items),,Road User Type,(Multiple Items),,,Road User Type,(Multiple Items)
,,,Statistic Label,Killed Casualties,,,Statistic Label,Killed Casualties
Row Labels,Sum of VALUE,,,,,,,
2005,192,,Sum of VALUE,Column Labels,,,Row Labels,Sum of VALUE
Male,4,,,,,,,
55 - 64 years,13,,,,,,,
Female,4,,,,,,,
Male,9,,,,,,,
65 years and over,16,,,,,,,
Female,3,,,,,,,
Male,13,,,,,,,
2016,98,,,,,,,
18 - 20 years,7,,,,,,,
Female,0,,,,,,,
Male,7,,,,,,,
21 - 24 years,9,,,,,,,
Female,0,,,,,,,
Male,9,,,,,,,
25 - 34 years,26,,,,,,,
Female,8,,,,,,,
Male,18,,,,,,,
35 - 44 years,15,,,,,,,
Female,3,,,,,,,
Male,12,,,,,,,
45 - 54 years,12,,,,,,,
Female,1,,,,,,,
Male,11,,,,,,,
55 - 64 years,9,,,,,,,
Female,4,,,,,,,
Male,5,,,,,,,
65 years and over,20,,,,,,,
Female,2,,,,,,,
Male,18,,,,,,,
2017,74,,,,,,,
18 - 20 years,5,,,,,,,
Female,0,,,,,,,
Male,5,,,,,,,
21 - 24 years,9,,,,,,,
Female,0,,,,,,,
Male,9,,,,,,,
25 - 34 years,18,,,,,,,
Female,3,,,,,,,
Male,15,,,,,,,
35 - 44 years,14,,,,,,,
Female,3,,,,,,,
Male,11,,,,,,,
45 - 54 years,9,,,,,,,
Female,1,,,,,,,
Male,8,,,,,,,
55 - 64 years,4,,,,,,,
Female,2,,,,,,,
Male,2,,,,,,,
65 years and over,15,,,,,,,
Female,7,,,,,,,
Male,8,,,,,,,
2018,58,,,,,,,
18 - 20 years,3,,,,,,,
Female,0,,,,,,,
Male,3,,,,,,,
21 - 24 years,8,,,,,,,
Female,0,,,,,,,
Male,8,,,,,,,
25 - 34 years,10,,,,,,,
Female,1,,,,,,,
Male,9,,,,,,,
35 - 44 years,7,,,,,,,
Female,1,,,,,,,
Male,6,,,,,,,
45 - 54 years,13,,,,,,,
Female,1,,,,,,,
Male,12,,,,,,,
55 - 64 years,7,,,,,,,
Female,2,,,,,,,
Male,5,,,,,,,
65 years and over,10,,,,,,,
Female,3,,,,,,,
Male,7,,,,,,,
2019,81,,,,,,,
18 - 20 years,5,,,,,,,
Female,1,,,,,,,
Male,4,,,,,,,
21 - 24 years,9,,,,,,,
Female,1,,,,,,,
Male,8,,,,,,,
25 - 34 years,20,,,,,,,
Female,4,,,,,,,
Male,16,,,,,,,
35 - 44 years,8,,,,,,,
Female,2,,,,,,,
Male,6,,,,,,,
45 - 54 years,9,,,,,,,
Female,2,,,,,,,
Male,7,,,,,,,
55 - 64 years,7,,,,,,,
Female,2,,,,,,,
Male,5,,,,,,,
65 years and over,23,,,,,,,
Female,9,,,,,,,
Male,14,,,,,,,
2020,60,,,,,,,
18 - 20 years,2,,,,,,,
Female,0,,,,,,,
Male,2,,,,,,,
21 - 24 years,3,,,,,,,
Female,0,,,,,,,
Male,3,,,,,,,
25 - 34 years,15,,,,,,,
Female,2,,,,,,,
Male,13,,,,,,,
35 - 44 years,10,,,,,,,
Female,0,,,,,,,
Male,10,,,,,,,
45 - 54 years,13,,,,,,,
Female,3,,,,,,,
Male,10,,,,,,,
55 - 64 years,3,,,,,,,
Female,0,,,,,,,
Male,3,,,,,,,
65 years and over,14,,,,,,,
Female,4,,,,,,,
Male,10,,,,,,,
2021,85,,,,,,,
18 - 20 years,8,,,,,,,
Female,0,,,,,,,
Male,8,,,,,,,
21 - 24 years,8,,,,,,,
Female,4,,,,,,,
Male,4,,,,,,,
25 - 34 years,12,,,,,,,
Female,1,,,,,,,
Male,11,,,,,,,
35 - 44 years,21,,,,,,,
Female,4,,,,,,,
Male,17,,,,,,,
45 - 54 years,15,,,,,,,
Female,3,,,,,,,
Male,12,,,,,,,
55 - 64 years,2,,,,,,,
Female,2,,,,,,,
Male,0,,,,,,,
65 years and over,19,,,,,,,
Female,6,,,,,,,
Male,13,,,,,,,
2022,71,,,,,,,
18 - 20 years,6,,,,,,,
Female,1,,,,,,,
Male,5,,,,,,,
21 - 24 years,5,,,,,,,
Female,1,,,,,,,
Male,4,,,,,,,
25 - 34 years,13,,,,,,,
Female,1,,,,,,,
Male,12,,,,,,,
35 - 44 years,11,,,,,,,
Female,1,,,,,,,
Male,10,,,,,,,
45 - 54 years,8,,,,,,,
Female,1,,,,,,,
Male,7,,,,,,,
55 - 64 years,11,,,,,,,
Female,2,,,,,,,
Male,9,,,,,,,
65 years and over,17,,,,,,,
Female,2,,,,,,,
Male,15,,,,,,,
2023,76,,,,,,,
18 - 20 years,7,,,,,,,
Female,1,,,,,,,
Male,6,,,,,,,
21 - 24 years,11,,,,,,,
Female,1,,,,,,,
Male,10,,,,,,,
25 - 34 years,14,,,,,,,
Female,2,,,,,,,
Male,12,,,,,,,
35 - 44 years,14,,,,,,,
Female,0,,,,,,,
Male,14,,,,,,,
45 - 54 years,9,,,,,,,
Female,0,,,,,,,
Male,9,,,,,,,
55 - 64 years,7,,,,,,,
Female,1,,,,,,,
Male,6,,,,,,,
65 years and over,14,,,,,,,
Female,6,,,,,,,
Male,8,,,,,,,
Grand Total,1894,,,,,,,
