STATISTIC,Statistic Label,TLIST(A1),Year,C02875V03459,Type of Vehicle,UNIT,VALUE
THA10C1,Vehicle Population,2022,2022,80,Other vehicles,Number,83238
THA10C1,Vehicle Population,2023,2023,-,All vehicle types,Number,2983209
THA10C1,Vehicle Population,2023,2023,10,Private cars,Number,2311503
THA10C1,Vehicle Population,2023,2023,20,Goods vehicles,Number,395129
THA10C1,Vehicle Population,2023,2023,30,Motor cycles,Number,47938
THA10C1,Vehicle Population,2023,2023,40,Tractors & Machinery,Number,81559
THA10C1,Vehicle Population,2023,2023,50,Small PSVs,Number,17894
THA10C1,Vehicle Population,2023,2023,60,Large PSVs,Number,11934
THA10C1,Vehicle Population,2023,2023,70,Exempt vehicles,Number,30978
THA10C1,Vehicle Population,2023,2023,80,Other vehicles,Number,86275
THA10C2,Kilometres Travelled,2000,2000,-,All vehicle types,Million,30483
THA10C2,Kilometres Travelled,2000,2000,10,Private cars,Million,23072
THA10C2,Kilometres Travelled,2000,2000,20,Goods vehicles,Million,4687
THA10C2,Kilometres Travelled,2000,2000,30,Motor cycles,Million,105
THA10C2,Kilometres Travelled,2000,2000,40,Tractors & Machinery,Million,1396
THA10C2,Kilometres Travelled,2000,2000,50,Small PSVs,Million,549
THA10C2,Kilometres Travelled,2000,2000,60,Large PSVs,Million,256
THA10C2,Kilometres Travelled,2000,2000,70,Exempt vehicles,Million,222
THA10C2,Kilometres Travelled,2000,2000,80,Other vehicles,Million,194
THA10C2,Kilometres Travelled,2001,2001,-,All vehicle types,Million,32272
THA10C2,Kilometres Travelled,2001,2001,10,Private cars,Million,24306
THA10C2,Kilometres Travelled,2001,2001,20,Goods vehicles,Million,5095
THA10C2,Kilometres Travelled,2001,2001,30,Motor cycles,Million,118
THA10C2,Kilometres Travelled,2001,2001,40,Tractors & Machinery,Million,1390
THA10C2,Kilometres Travelled,2001,2001,50,Small PSVs,Million,626
THA10C2,Kilometres Travelled,2001,2001,60,Large PSVs,Million,268
THA10C2,Kilometres Travelled,2001,2001,70,Exempt vehicles,Million,248
THA10C2,Kilometres Travelled,2001,2001,80,Other vehicles,Million,221
THA10C2,Kilometres Travelled,2002,2002,-,All vehicle types,Million,33533
THA10C2,Kilometres Travelled,2002,2002,10,Private cars,Million,25192
THA10C2,Kilometres Travelled,2002,2002,20,Goods vehicles,Million,5367
THA10C2,Kilometres Travelled,2002,2002,30,Motor cycles,Million,121
THA10C2,Kilometres Travelled,2002,2002,40,Tractors & Machinery,Million,1377
THA10C2,Kilometres Travelled,2002,2002,50,Small PSVs,Million,714
THA10C2,Kilometres Travelled,2002,2002,60,Large PSVs,Million,267
THA10C2,Kilometres Travelled,2002,2002,70,Exempt vehicles,Million,265
THA10C2,Kilometres Travelled,2002,2002,80,Other vehicles,Million,229
THA10C2,Kilometres Travelled,2003,2003,-,All vehicle types,Million,35606
THA10C2,Kilometres Travelled,2003,2003,10,Private cars,Million,26633
THA10C2,Kilometres Travelled,2003,2003,20,Goods vehicles,Million,5819
THA10C2,Kilometres Travelled,2003,2003,30,Motor cycles,Million,127
THA10C2,Kilometres Travelled,2003,2003,40,Tractors & Machinery,Million,1421
THA10C2,Kilometres Travelled,2003,2003,50,Small PSVs,Million,792
THA10C2,Kilometres Travelled,2003,2003,60,Large PSVs,Million,277
THA10C2,Kilometres Travelled,2003,2003,70,Exempt vehicles,Million,287
THA10C2,Kilometres Travelled,2003,2003,80,Other vehicles,Million,249
THA10C2,Kilometres Travelled,2004,2004,-,All vehicle types,Million,38154
THA10C2,Kilometres Travelled,2004,2004,10,Private cars,Million,28418
THA10C2,Kilometres Travelled,2004,2004,20,Goods vehicles,Million,6367
THA10C2,Kilometres Travelled,2004,2004,30,Motor cycles,Million,133
THA10C2,Kilometres Travelled,2004,2004,40,Tractors & Machinery,Million,1476
THA10C2,Kilometres Travelled,2004,2004,50,Small PSVs,Million,862
THA10C2,Kilometres Travelled,2004,2004,60,Large PSVs,Million,289
THA10C2,Kilometres Travelled,2004,2004,70,Exempt vehicles,Million,317
THA10C2,Kilometres Travelled,2004,2004,80,Other vehicles,Million,292
THA10C2,Kilometres Travelled,2005,2005,-,All vehicle types,Million,39777
THA10C2,Kilometres Travelled,2005,2005,10,Private cars,Million,29586
THA10C2,Kilometres Travelled,2005,2005,20,Goods vehicles,Million,6743
THA10C2,Kilometres Travelled,2005,2005,30,Motor cycles,Million,130
THA10C2,Kilometres Travelled,2005,2005,40,Tractors & Machinery,Million,1463
THA10C2,Kilometres Travelled,2005,2005,50,Small PSVs,Million,897
THA10C2,Kilometres Travelled,2005,2005,60,Large PSVs,Million,291
THA10C2,Kilometres Travelled,2005,2005,70,Exempt vehicles,Million,341
THA10C2,Kilometres Travelled,2005,2005,80,Other vehicles,Million,326
THA10C2,Kilometres Travelled,2006,2006,-,All vehicle types,Million,41357
THA10C2,Kilometres Travelled,2006,2006,10,Private cars,Million,30660
THA10C2,Kilometres Travelled,2006,2006,20,Goods vehicles,Million,7190
THA10C2,Kilometres Travelled,2006,2006,30,Motor cycles,Million,127
THA10C2,Kilometres Travelled,2006,2006,40,Tractors & Machinery,Million,1446
THA10C2,Kilometres Travelled,2006,2006,50,Small PSVs,Million,929
THA10C2,Kilometres Travelled,2006,2006,60,Large PSVs,Million,295
THA10C2,Kilometres Travelled,2006,2006,70,Exempt vehicles,Million,361
THA10C2,Kilometres Travelled,2006,2006,80,Other vehicles,Million,348
THA10C2,Kilometres Travelled,2007,2007,-,All vehicle types,Million,43368
THA10C2,Kilometres Travelled,2007,2007,10,Private cars,Million,31973
THA10C2,Kilometres Travelled,2007,2007,20,Goods vehicles,Million,7736
THA10C2,Kilometres Travelled,2007,2007,30,Motor cycles,Million,130
THA10C2,Kilometres Travelled,2007,2007,40,Tractors & Machinery,Million,1453
THA10C2,Kilometres Travelled,2007,2007,50,Small PSVs,Million,1006
THA10C2,Kilometres Travelled,2007,2007,60,Large PSVs,Million,305
THA10C2,Kilometres Travelled,2007,2007,70,Exempt vehicles,Million,391
THA10C2,Kilometres Travelled,2007,2007,80,Other vehicles,Million,374
THA10C2,Kilometres Travelled,2008,2008,-,All vehicle types,Million,43721
THA10C2,Kilometres Travelled,2008,2008,10,Private cars,Million,31450
THA10C2,Kilometres Travelled,2008,2008,20,Goods vehicles,Million,7901
THA10C2,Kilometres Travelled,2008,2008,30,Motor cycles,Million,159
THA10C2,Kilometres Travelled,2008,2008,40,Tractors & Machinery,Million,1942
THA10C2,Kilometres Travelled,2008,2008,50,Small PSVs,Million,1072
THA10C2,Kilometres Travelled,2008,2008,60,Large PSVs,Million,310
THA10C2,Kilometres Travelled,2008,2008,70,Exempt vehicles,Million,412
THA10C2,Kilometres Travelled,2008,2008,80,Other vehicles,Million,475
THA10C2,Kilometres Travelled,2009,2009,-,All vehicle types,Million,45110
THA10C2,Kilometres Travelled,2009,2009,10,Private cars,Million,33391
THA10C2,Kilometres Travelled,2009,2009,20,Goods vehicles,Million,7855
THA10C2,Kilometres Travelled,2009,2009,30,Motor cycles,Million,135
THA10C2,Kilometres Travelled,2009,2009,40,Tractors & Machinery,Million,1370
THA10C2,Kilometres Travelled,2009,2009,50,Small PSVs,Million,945
THA10C2,Kilometres Travelled,2009,2009,60,Large PSVs,Million,349
THA10C2,Kilometres Travelled,2009,2009,70,Exempt vehicles,Million,504
THA10C2,Kilometres Travelled,2009,2009,80,Other vehicles,Million,562
THA10C2,Kilometres Travelled,2010,2010,-,All vehicle types,Million,42166
THA10C2,Kilometres Travelled,2010,2010,10,Private cars,Million,31734
THA10C2,Kilometres Travelled,2010,2010,20,Goods vehicles,Million,6870
THA10C2,Kilometres Travelled,2010,2010,30,Motor cycles,Million,123
THA10C2,Kilometres Travelled,2010,2010,40,Tractors & Machinery,Million,1263
THA10C2,Kilometres Travelled,2010,2010,50,Small PSVs,Million,932
THA10C2,Kilometres Travelled,2010,2010,60,Large PSVs,Million,310
THA10C2,Kilometres Travelled,2010,2010,70,Exempt vehicles,Million,464
THA10C2,Kilometres Travelled,2010,2010,80,Other vehicles,Million,470
THA10C2,Kilometres Travelled,2011,2011,-,All vehicle types,Million,41681
THA10C2,Kilometres Travelled,2011,2011,10,Private cars,Million,31638
THA10C2,Kilometres Travelled,2011,2011,20,Goods vehicles,Million,6546
THA10C2,Kilometres Travelled,2011,2011,30,Motor cycles,Million,114
THA10C2,Kilometres Travelled,2011,2011,40,Tractors & Machinery,Million,1232
THA10C2,Kilometres Travelled,2011,2011,50,Small PSVs,Million,970
THA10C2,Kilometres Travelled,2011,2011,60,Large PSVs,Million,308
THA10C2,Kilometres Travelled,2011,2011,70,Exempt vehicles,Million,460
THA10C2,Kilometres Travelled,2011,2011,80,Other vehicles,Million,413
THA10C2,Kilometres Travelled,2012,2012,-,All vehicle types,Million,40648
THA10C2,Kilometres Travelled,2012,2012,10,Private cars,Million,31076
THA10C2,Kilometres Travelled,2012,2012,20,Goods vehicles,Million,6167
THA10C2,Kilometres Travelled,2012,2012,30,Motor cycles,Million,106
THA10C2,Kilometres Travelled,2012,2012,40,Tractors & Machinery,Million,1310
THA10C2,Kilometres Travelled,2012,2012,50,Small PSVs,Million,860
THA10C2,Kilometres Travelled,2012,2012,60,Large PSVs,Million,298
THA10C2,Kilometres Travelled,2012,2012,70,Exempt vehicles,Million,455
THA10C2,Kilometres Travelled,2012,2012,80,Other vehicles,Million,378
THA10C2,Kilometres Travelled,2013,2013,-,All vehicle types,Million,41757
THA10C2,Kilometres Travelled,2013,2013,10,Private cars,Million,32031
THA10C2,Kilometres Travelled,2013,2013,20,Goods vehicles,Million,6320
THA10C2,Kilometres Travelled,2013,2013,30,Motor cycles,Million,103
THA10C2,Kilometres Travelled,2013,2013,40,Tractors & Machinery,Million,1344
THA10C2,Kilometres Travelled,2013,2013,50,Small PSVs,Million,873
THA10C2,Kilometres Travelled,2013,2013,60,Large PSVs,Million,299
THA10C2,Kilometres Travelled,2013,2013,70,Exempt vehicles,Million,442
THA10C2,Kilometres Travelled,2013,2013,80,Other vehicles,Million,345
THA10C2,Kilometres Travelled,2014,2014,-,All vehicle types,Million,43832
THA10C2,Kilometres Travelled,2014,2014,10,Private cars,Million,32645
THA10C2,Kilometres Travelled,2014,2014,20,Goods vehicles,Million,7259
THA10C2,Kilometres Travelled,2014,2014,30,Motor cycles,Million,103
THA10C2,Kilometres Travelled,2014,2014,40,Tractors & Machinery,Million,1647
THA10C2,Kilometres Travelled,2014,2014,50,Small PSVs,Million,848
THA10C2,Kilometres Travelled,2014,2014,60,Large PSVs,Million,309
THA10C2,Kilometres Travelled,2014,2014,70,Exempt vehicles,Million,459
THA10C2,Kilometres Travelled,2014,2014,80,Other vehicles,Million,561
THA10C2,Kilometres Travelled,2015,2015,-,All vehicle types,Million,45790
THA10C2,Kilometres Travelled,2015,2015,10,Private cars,Million,35020
THA10C2,Kilometres Travelled,2015,2015,20,Goods vehicles,Million,7021
THA10C2,Kilometres Travelled,2015,2015,30,Motor cycles,Million,102
THA10C2,Kilometres Travelled,2015,2015,40,Tractors & Machinery,Million,1598
THA10C2,Kilometres Travelled,2015,2015,50,Small PSVs,Million,854
THA10C2,Kilometres Travelled,2015,2015,60,Large PSVs,Million,313
THA10C2,Kilometres Travelled,2015,2015,70,Exempt vehicles,Million,448
THA10C2,Kilometres Travelled,2015,2015,80,Other vehicles,Million,433
THA10C2,Kilometres Travelled,2016,2016,-,All vehicle types,Million,47775
THA10C2,Kilometres Travelled,2016,2016,10,Private cars,Million,36623
THA10C2,Kilometres Travelled,2016,2016,20,Goods vehicles,Million,7410
THA10C2,Kilometres Travelled,2016,2016,30,Motor cycles,Million,104
THA10C2,Kilometres Travelled,2016,2016,40,Tractors & Machinery,Million,1577
THA10C2,Kilometres Travelled,2016,2016,50,Small PSVs,Million,865
THA10C2,Kilometres Travelled,2016,2016,60,Large PSVs,Million,329
THA10C2,Kilometres Travelled,2016,2016,70,Exempt vehicles,Million,458
THA10C2,Kilometres Travelled,2016,2016,80,Other vehicles,Million,409
THA10C2,Kilometres Travelled,2017,2017,-,All vehicle types,Million,48754
THA10C2,Kilometres Travelled,2017,2017,10,Private cars,Million,37181
THA10C2,Kilometres Travelled,2017,2017,20,Goods vehicles,Million,7785
THA10C2,Kilometres Travelled,2017,2017,30,Motor cycles,Million,108
THA10C2,Kilometres Travelled,2017,2017,40,Tractors & Machinery,Million,1575
THA10C2,Kilometres Travelled,2017,2017,50,Small PSVs,Million,858
THA10C2,Kilometres Travelled,2017,2017,60,Large PSVs,Million,361
THA10C2,Kilometres Travelled,2017,2017,70,Exempt vehicles,Million,462
THA10C2,Kilometres Travelled,2017,2017,80,Other vehicles,Million,423
THA10C2,Kilometres Travelled,2018,2018,-,All vehicle types,Million,47545
THA10C2,Kilometres Travelled,2018,2018,10,Private cars,Million,35975
THA10C2,Kilometres Travelled,2018,2018,20,Goods vehicles,Million,7891
