Statistic Label,Year,Type of Vehicle,UNIT,VALUE,,,,,
Kilometres Travelled,2011,Exempt vehicles,Million,460,,,,,
Kilometres Travelled,2011,Other vehicles,Million,413,,,,,
Kilometres Travelled,2012,All vehicle types,Million,40648,,,,,
Kilometres Travelled,2012,Private cars,Million,31076,,,,,
Kilometres Travelled,2012,Goods vehicles,Million,6167,,,,,
Kilometres Travelled,2012,Motor cycles,Million,106,,,,,
Kilometres Travelled,2012,Tractors & Machinery,Million,1310,,,,,
Kilometres Travelled,2012,Small PSVs,Million,860,,,,,
Kilometres Travelled,2012,Large PSVs,Million,298,,,,,
Kilometres Travelled,2012,Exempt vehicles,Million,455,,,,,
Kilometres Travelled,2012,Other vehicles,Million,378,,,,,
Kilometres Travelled,2013,All vehicle types,Million,41757,,,,,
Kilometres Travelled,2013,Private cars,Million,32031,,,,,
Kilometres Travelled,2013,Goods vehicles,Million,6320,,,,,
Kilometres Travelled,2013,Motor cycles,Million,103,,,,,
Kilometres Travelled,2013,Tractors & Machinery,Million,1344,,,,,
Kilometres Travelled,2013,Small PSVs,Million,873,,,,,
Kilometres Travelled,2013,Large PSVs,Million,299,,,,,
Kilometres Travelled,2013,Exempt vehicles,Million,442,,,,,
Kilometres Travelled,2013,Other vehicles,Million,345,,,,,
Kilometres Travelled,2014,All vehicle types,Million,43832,,,,,
Kilometres Travelled,2014,Private cars,Million,32645,,,,,
Kilometres Travelled,2014,Goods vehicles,Million,7259,,,,,
Kilometres Travelled,2014,Motor cycles,Million,103,,,,,
Kilometres Travelled,2014,Tractors & Machinery,Million,1647,,,,,
Kilometres Travelled,2014,Small PSVs,Million,848,,,,,
Kilometres Travelled,2014,Large PSVs,Million,309,,,,,
Kilometres Travelled,2014,Exempt vehicles,Million,459,,,,,
Kilometres Travelled,2014,Other vehicles,Million,561,,,,,
Kilometres Travelled,2015,All vehicle types,Million,45790,,,,,
Kilometres Travelled,2015,Private cars,Million,35020,,,,,
Kilometres Travelled,2015,Goods vehicles,Million,7021,,,,,
Kilometres Travelled,2015,Motor cycles,Million,102,,,,,
Kilometres Travelled,2015,Tractors & Machinery,Million,1598,,,,,
Kilometres Travelled,2015,Small PSVs,Million,854,,,,,
Kilometres Travelled,2015,Large PSVs,Million,313,,,,,
Kilometres Travelled,2015,Exempt vehicles,Million,448,,,,,
Kilometres Travelled,2015,Other vehicles,Million,433,,,,,
Kilometres Travelled,2016,All vehicle types,Million,47775,,,,,
Kilometres Travelled,2016,Private cars,Million,36623,,,,,
Kilometres Travelled,2016,Goods vehicles,Million,7410,,,,,
Kilometres Travelled,2016,Motor cycles,Million,104,,,,,
