Statistic Label,Year,Hour of Day,UNIT,VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2005,All hours,Number,360,,,,,,,,,,,,,,,,,,,,Statistic Label,Fatal Collisions,,,,,Statistic Label,Fatal Collisions
Fatal Collisions,2013,21,Number,14,,,2023,11,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,22,Number,6,,,17,207,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2013,23,Number,4,,,2005,21,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,All hours,Number,178,,,2006,15,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,12 midnight,Number,2,,,2007,20,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,1,Number,9,,,2008,10,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,2,Number,6,,,2009,15,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,3,Number,4,,,2010,5,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,4,Number,8,,,2011,10,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,5,Number,2,,,2012,14,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,6,Number,4,,,2013,13,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,7,Number,5,,,2014,12,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,8,Number,8,,,2015,10,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,9,Number,9,,,2016,8,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,10,Number,5,,,2017,6,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,11,Number,8,,,2018,7,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,12,Number,9,,,2019,7,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,13,Number,8,,,2020,4,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,14,Number,10,,,2021,8,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,15,Number,9,,,2022,15,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,16,Number,9,,,2023,7,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,17,Number,12,,,18,202,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,18,Number,15,,,2005,22,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,19,Number,7,,,2006,21,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,20,Number,12,,,2007,21,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,21,Number,8,,,2008,15,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,22,Number,5,,,2009,14,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2014,23,Number,4,,,2010,8,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2015,All hours,Number,155,,,2011,4,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2015,12 midnight,Number,6,,,2012,12,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2015,1,Number,5,,,2013,10,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2015,2,Number,8,,,2014,15,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2015,3,Number,6,,,2015,5,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2015,4,Number,3,,,2016,8,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2015,5,Number,4,,,2017,6,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2015,6,Number,5,,,2018,9,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2015,7,Number,4,,,2019,10,,,,,,,,,,,,,,,,,,,,,,,
