Statistic Label,Year,Hour of Day,UNIT,VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2005,All hours,Number,360,,,,,,,,,,,,,,,,,,,,Statistic Label,Fatal Collisions,,,,,Statistic Label,Fatal Collisions
Injured Casualties,2016,5,Number,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,6,Number,108,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,7,Number,262,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,8,Number,420,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,9,Number,405,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,10,Number,287,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,11,Number,308,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,12,Number,460,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,13,Number,495,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,14,Number,442,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,15,Number,458,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,16,Number,603,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,17,Number,635,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,18,Number,580,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,19,Number,460,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,20,Number,361,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,21,Number,293,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,22,Number,269,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2016,23,Number,191,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,All hours,Number,7778,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,12 midnight,Number,131,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,1,Number,116,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,2,Number,141,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,3,Number,112,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,4,Number,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,5,Number,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,6,Number,130,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,7,Number,250,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,8,Number,411,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,9,Number,346,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,10,Number,368,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,11,Number,363,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,12,Number,379,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,13,Number,476,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,14,Number,478,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,15,Number,566,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,16,Number,576,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,17,Number,725,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,18,Number,597,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,19,Number,503,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,20,Number,372,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,21,Number,234,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,22,Number,210,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2017,23,Number,167,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,All hours,Number,8011,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,12 midnight,Number,166,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,1,Number,115,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,2,Number,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,3,Number,106,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,4,Number,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,5,Number,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,6,Number,107,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,7,Number,283,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,8,Number,461,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,9,Number,402,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,10,Number,335,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,11,Number,353,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,12,Number,484,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,13,Number,465,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,14,Number,535,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,15,Number,608,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,16,Number,601,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,17,Number,653,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,18,Number,577,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,19,Number,461,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,20,Number,405,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,21,Number,269,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,22,Number,190,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2018,23,Number,179,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,All hours,Number,7579,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,12 midnight,Number,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,1,Number,114,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,2,Number,82,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,3,Number,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,4,Number,44,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,5,Number,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,6,Number,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,7,Number,325,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,8,Number,490,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,9,Number,389,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,10,Number,301,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,11,Number,347,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,12,Number,468,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,13,Number,452,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,14,Number,509,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,15,Number,533,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,16,Number,612,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,17,Number,641,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,18,Number,579,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,19,Number,435,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,20,Number,304,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,21,Number,246,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,22,Number,204,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2019,23,Number,156,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,All hours,Number,5596,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,12 midnight,Number,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,1,Number,61,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,2,Number,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,3,Number,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,4,Number,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,5,Number,37,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,6,Number,113,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,7,Number,195,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,8,Number,284,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,9,Number,222,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,10,Number,286,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,11,Number,307,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,12,Number,308,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,13,Number,350,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,14,Number,375,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,15,Number,466,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,16,Number,417,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,17,Number,497,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,18,Number,378,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,19,Number,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,20,Number,280,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,21,Number,164,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,22,Number,146,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2020,23,Number,125,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,All hours,Number,6196,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,12 midnight,Number,145,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,1,Number,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,2,Number,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,3,Number,41,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,4,Number,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,5,Number,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,6,Number,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,7,Number,225,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,8,Number,291,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,9,Number,275,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,10,Number,246,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,11,Number,269,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,12,Number,379,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,13,Number,421,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,14,Number,426,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,15,Number,446,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,16,Number,493,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,17,Number,558,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,18,Number,448,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,19,Number,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,20,Number,309,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,21,Number,220,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,22,Number,173,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2021,23,Number,154,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,All hours,Number,7358,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,12 midnight,Number,167,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,1,Number,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,2,Number,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,3,Number,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,4,Number,49,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,5,Number,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,6,Number,129,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,7,Number,231,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,8,Number,355,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,9,Number,322,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,10,Number,261,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,11,Number,341,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,12,Number,391,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,13,Number,442,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,14,Number,516,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,15,Number,578,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,16,Number,625,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,17,Number,649,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,18,Number,543,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,19,Number,371,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,20,Number,318,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,21,Number,259,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,22,Number,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2022,23,Number,213,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,All hours,Number,6942,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,12 midnight,Number,141,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,1,Number,114,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,2,Number,83,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,3,Number,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,4,Number,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,5,Number,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,6,Number,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,7,Number,227,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,8,Number,348,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,9,Number,346,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,10,Number,285,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,11,Number,321,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,12,Number,343,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,13,Number,454,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,14,Number,464,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,15,Number,491,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,16,Number,580,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,17,Number,627,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,18,Number,554,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,19,Number,353,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,20,Number,316,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,21,Number,255,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,22,Number,209,,,,,,,,,,,,,,,,,,,,,,,,,,,
Injured Casualties,2023,23,Number,147,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,All hours,Number,9714,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,12 midnight,Number,603,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,1,Number,233,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,2,Number,203,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,3,Number,238,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,4,Number,149,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,5,Number,107,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,6,Number,139,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,7,Number,311,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,8,Number,492,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,9,Number,354,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,10,Number,325,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,11,Number,402,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,12,Number,400,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,13,Number,538,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,14,Number,524,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,15,Number,570,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,16,Number,667,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,17,Number,711,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,18,Number,643,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,19,Number,605,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,20,Number,486,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,21,Number,418,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,22,Number,336,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2005,23,Number,260,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,All hours,Number,8939,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,12 midnight,Number,376,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,1,Number,219,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,2,Number,182,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,3,Number,202,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,4,Number,127,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,5,Number,89,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,6,Number,138,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,7,Number,264,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,8,Number,495,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,9,Number,418,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,10,Number,367,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,11,Number,391,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,12,Number,394,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,13,Number,480,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,14,Number,513,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,15,Number,556,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,16,Number,555,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,17,Number,714,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,18,Number,592,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,19,Number,545,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,20,Number,423,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,21,Number,389,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,22,Number,285,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2006,23,Number,225,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,All hours,Number,8144,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,12 midnight,Number,218,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,1,Number,155,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,2,Number,171,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,3,Number,186,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,4,Number,81,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,5,Number,93,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,6,Number,128,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,7,Number,253,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,8,Number,464,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,9,Number,352,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,10,Number,264,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,11,Number,351,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,12,Number,421,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,13,Number,459,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,14,Number,491,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,15,Number,590,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,16,Number,496,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,17,Number,655,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,18,Number,581,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,19,Number,478,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,20,Number,433,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,21,Number,311,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,22,Number,302,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2007,23,Number,211,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,All hours,Number,10037,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,12 midnight,Number,252,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,1,Number,235,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,2,Number,200,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,3,Number,191,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,4,Number,121,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,5,Number,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,6,Number,140,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,7,Number,282,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,8,Number,491,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,9,Number,486,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,10,Number,422,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,11,Number,422,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,12,Number,490,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,13,Number,579,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,14,Number,547,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,15,Number,610,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,16,Number,741,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,17,Number,849,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,18,Number,644,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,19,Number,626,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,20,Number,533,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,21,Number,424,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,22,Number,351,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2008,23,Number,303,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Killed and Injured Casualties,2009,All hours,Number,9980,,,,,,,,,,,,,,,,,,,,,,,,,,,
