Statistic,Age Group,Sex,Road User Type,UNIT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Killed Casualties,25 - 34 years,Female,All road users,Number,19,15,8,11,11,7,6,12,5,4,8,11,5,2,5,4,5,3,2
Killed Casualties,25 - 34 years,Female,Pedestrians,Number,2,0,0,2,2,0,0,0,0,1,2,0,1,1,0,0,2,0,0
Killed Casualties,25 - 34 years,Female,Pedal cyclists,Number,0,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Killed Casualties,25 - 34 years,Female,Motor cyclists,Number,1,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
Killed Casualties,25 - 34 years,Female,All Car users,Number,14,11,8,9,9,6,6,10,3,2,6,10,2,1,5,4,2,3,2
Killed Casualties,25 - 34 years,Female,Car drivers,Number,10,8,6,7,8,4,3,8,2,2,5,8,2,1,4,2,1,1,2
Killed Casualties,25 - 34 years,Female,Car passengers,Number,4,3,2,2,1,2,3,2,1,0,1,2,0,0,1,2,1,2,0
Killed Casualties,25 - 34 years,Female,Other road users,Number,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Killed Casualties,35 - 44 years,Male,All road users,Number,38,30,36,32,30,21,22,12,19,21,14,24,19,14,14,19,19,14,24
Killed Casualties,35 - 44 years,Male,Pedestrians,Number,2,6,5,4,2,6,5,0,3,3,2,5,5,4,5,4,1,4,3
Killed Casualties,35 - 44 years,Male,Pedal cyclists,Number,1,1,1,1,0,0,2,2,1,3,3,1,1,2,0,1,0,0,0
Killed Casualties,35 - 44 years,Male,Motor cyclists,Number,12,6,9,8,8,4,6,3,4,7,5,4,3,4,2,6,5,4,6
Killed Casualties,35 - 44 years,Male,All Car users,Number,19,13,14,12,16,8,8,3,8,7,3,12,10,2,4,5,12,6,9
Killed Casualties,35 - 44 years,Male,Car drivers,Number,16,11,12,12,14,6,7,3,6,5,3,8,8,2,4,4,12,6,8
Killed Casualties,35 - 44 years,Male,Car passengers,Number,3,2,2,0,2,2,1,0,2,2,0,4,2,0,0,1,0,0,1
Killed Casualties,35 - 44 years,Male,Other road users,Number,4,4,7,7,4,3,1,4,3,1,1,2,0,2,3,3,1,0,6
Killed Casualties,35 - 44 years,Female,All road users,Number,7,8,9,4,4,5,8,4,4,10,5,7,5,2,3,2,5,3,1
Killed Casualties,35 - 44 years,Female,Pedestrians,Number,1,1,2,0,1,1,4,0,1,3,0,1,0,1,1,1,1,1,0
Killed Casualties,35 - 44 years,Female,Pedal cyclists,Number,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1
Killed Casualties,35 - 44 years,Female,Motor cyclists,Number,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Killed Casualties,35 - 44 years,Female,All Car users,Number,6,6,7,4,2,4,4,3,3,6,3,4,4,1,2,1,4,2,0
Killed Casualties,35 - 44 years,Female,Car drivers,Number,2,4,5,3,2,2,4,3,3,3,2,2,3,1,2,0,4,1,0
Killed Casualties,35 - 44 years,Female,Car passengers,Number,4,2,2,1,0,2,0,0,0,3,1,2,1,0,0,1,0,1,0
