"Statistic Label","Year","Age Group","Sex","UNIT","VALUE"
"Drivers of Cars Killed in Collisions","2013","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2014","All ages","Male","Number","46"
"Drivers of Cars Killed in Collisions","2014","All ages","Female","Number","20"
"Drivers of Cars Killed in Collisions","2014","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2014","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2014","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2014","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2014","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2014","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2014","15 - 17 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2014","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2014","18 - 20 years","Male","Number","6"
"Drivers of Cars Killed in Collisions","2014","18 - 20 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2014","21 - 24 years","Male","Number","7"
"Drivers of Cars Killed in Collisions","2014","21 - 24 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2014","25 - 34 years","Male","Number","10"
"Drivers of Cars Killed in Collisions","2014","25 - 34 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2014","35 - 44 years","Male","Number","5"
"Drivers of Cars Killed in Collisions","2014","35 - 44 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2014","45 - 54 years","Male","Number","5"
"Drivers of Cars Killed in Collisions","2014","45 - 54 years","Female","Number","6"
"Drivers of Cars Killed in Collisions","2014","55 - 64 years","Male","Number","1"
"Drivers of Cars Killed in Collisions","2014","55 - 64 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2014","65 years and over","Male","Number","10"
"Drivers of Cars Killed in Collisions","2014","65 years and over","Female","Number","5"
"Drivers of Cars Killed in Collisions","2014","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2014","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2015","All ages","Male","Number","46"
"Drivers of Cars Killed in Collisions","2015","All ages","Female","Number","17"
"Drivers of Cars Killed in Collisions","2015","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2015","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2015","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2015","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2015","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2015","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2015","15 - 17 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2015","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2015","18 - 20 years","Male","Number","7"
"Drivers of Cars Killed in Collisions","2015","18 - 20 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2015","21 - 24 years","Male","Number","7"
"Drivers of Cars Killed in Collisions","2015","21 - 24 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2015","25 - 34 years","Male","Number","9"
"Drivers of Cars Killed in Collisions","2015","25 - 34 years","Female","Number","5"
"Drivers of Cars Killed in Collisions","2015","35 - 44 years","Male","Number","3"
"Drivers of Cars Killed in Collisions","2015","35 - 44 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2015","45 - 54 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2015","45 - 54 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2015","55 - 64 years","Male","Number","7"
"Drivers of Cars Killed in Collisions","2015","55 - 64 years","Female","Number","4"
"Drivers of Cars Killed in Collisions","2015","65 years and over","Male","Number","13"
"Drivers of Cars Killed in Collisions","2015","65 years and over","Female","Number","3"
"Drivers of Cars Killed in Collisions","2015","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2015","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2016","All ages","Male","Number","60"
"Drivers of Cars Killed in Collisions","2016","All ages","Female","Number","16"
"Drivers of Cars Killed in Collisions","2016","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2016","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2016","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2016","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2016","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2016","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2016","15 - 17 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2016","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2016","18 - 20 years","Male","Number","6"
"Drivers of Cars Killed in Collisions","2016","18 - 20 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2016","21 - 24 years","Male","Number","7"
"Drivers of Cars Killed in Collisions","2016","21 - 24 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2016","25 - 34 years","Male","Number","12"
"Drivers of Cars Killed in Collisions","2016","25 - 34 years","Female","Number","8"
"Drivers of Cars Killed in Collisions","2016","35 - 44 years","Male","Number","8"
"Drivers of Cars Killed in Collisions","2016","35 - 44 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2016","45 - 54 years","Male","Number","8"
"Drivers of Cars Killed in Collisions","2016","45 - 54 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2016","55 - 64 years","Male","Number","3"
"Drivers of Cars Killed in Collisions","2016","55 - 64 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2016","65 years and over","Male","Number","16"
"Drivers of Cars Killed in Collisions","2016","65 years and over","Female","Number","2"
"Drivers of Cars Killed in Collisions","2016","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2016","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2017","All ages","Male","Number","39"
"Drivers of Cars Killed in Collisions","2017","All ages","Female","Number","15"
"Drivers of Cars Killed in Collisions","2017","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2017","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2017","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2017","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2017","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2017","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2017","15 - 17 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2017","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2017","18 - 20 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2017","18 - 20 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2017","21 - 24 years","Male","Number","9"
"Drivers of Cars Killed in Collisions","2017","21 - 24 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2017","25 - 34 years","Male","Number","8"
"Drivers of Cars Killed in Collisions","2017","25 - 34 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2017","35 - 44 years","Male","Number","8"
"Drivers of Cars Killed in Collisions","2017","35 - 44 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2017","45 - 54 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2017","45 - 54 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2017","55 - 64 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2017","55 - 64 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2017","65 years and over","Male","Number","6"
"Drivers of Cars Killed in Collisions","2017","65 years and over","Female","Number","7"
"Drivers of Cars Killed in Collisions","2017","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2017","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2018","All ages","Male","Number","37"
"Drivers of Cars Killed in Collisions","2018","All ages","Female","Number","8"
"Drivers of Cars Killed in Collisions","2018","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2018","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2018","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2018","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2018","10 - 14 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2018","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2018","15 - 17 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2018","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2018","18 - 20 years","Male","Number","3"
"Drivers of Cars Killed in Collisions","2018","18 - 20 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2018","21 - 24 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2018","21 - 24 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2018","25 - 34 years","Male","Number","8"
"Drivers of Cars Killed in Collisions","2018","25 - 34 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2018","35 - 44 years","Male","Number","2"
"Drivers of Cars Killed in Collisions","2018","35 - 44 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2018","45 - 54 years","Male","Number","7"
"Drivers of Cars Killed in Collisions","2018","45 - 54 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2018","55 - 64 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2018","55 - 64 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2018","65 years and over","Male","Number","7"
"Drivers of Cars Killed in Collisions","2018","65 years and over","Female","Number","3"
"Drivers of Cars Killed in Collisions","2018","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2018","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2019","All ages","Male","Number","45"
"Drivers of Cars Killed in Collisions","2019","All ages","Female","Number","21"
"Drivers of Cars Killed in Collisions","2019","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2019","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2019","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2019","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2019","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2019","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2019","15 - 17 years","Male","Number","1"
"Drivers of Cars Killed in Collisions","2019","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2019","18 - 20 years","Male","Number","1"
"Drivers of Cars Killed in Collisions","2019","18 - 20 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2019","21 - 24 years","Male","Number","7"
"Drivers of Cars Killed in Collisions","2019","21 - 24 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2019","25 - 34 years","Male","Number","12"
"Drivers of Cars Killed in Collisions","2019","25 - 34 years","Female","Number","4"
"Drivers of Cars Killed in Collisions","2019","35 - 44 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2019","35 - 44 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2019","45 - 54 years","Male","Number","3"
"Drivers of Cars Killed in Collisions","2019","45 - 54 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2019","55 - 64 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2019","55 - 64 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2019","65 years and over","Male","Number","13"
"Drivers of Cars Killed in Collisions","2019","65 years and over","Female","Number","9"
"Drivers of Cars Killed in Collisions","2019","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2019","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2020","All ages","Male","Number","37"
"Drivers of Cars Killed in Collisions","2020","All ages","Female","Number","9"
"Drivers of Cars Killed in Collisions","2020","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2020","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2020","6 - 9 years","Male","Number","0"
