"Statistic Label","Year","Month of Year","UNIT","VALUE"
"Injury Collisions","2023","All months","Number","5358"
"Injury Collisions","2023","January","Number","419"
"Injury Collisions","2023","February","Number","374"
"Injury Collisions","2023","March","Number","443"
"Injury Collisions","2023","April","Number","406"
"Injury Collisions","2023","May","Number","498"
"Injury Collisions","2023","June","Number","468"
"Injury Collisions","2023","July","Number","457"
"Injury Collisions","2023","August","Number","446"
"Injury Collisions","2023","September","Number","470"
"Injury Collisions","2023","October","Number","460"
"Injury Collisions","2023","November","Number","467"
"Injury Collisions","2023","December","Number","450"
"All Fatal and Injury Collisions","2005","All months","Number","6533"
"All Fatal and Injury Collisions","2005","January","Number","473"
"All Fatal and Injury Collisions","2005","February","Number","461"
"All Fatal and Injury Collisions","2005","March","Number","498"
"All Fatal and Injury Collisions","2005","April","Number","529"
"All Fatal and Injury Collisions","2005","May","Number","561"
"All Fatal and Injury Collisions","2005","June","Number","524"
"All Fatal and Injury Collisions","2005","July","Number","572"
"All Fatal and Injury Collisions","2005","August","Number","558"
"All Fatal and Injury Collisions","2005","September","Number","568"
"All Fatal and Injury Collisions","2005","October","Number","604"
"All Fatal and Injury Collisions","2005","November","Number","603"
"All Fatal and Injury Collisions","2005","December","Number","582"
"All Fatal and Injury Collisions","2006","All months","Number","6018"
"All Fatal and Injury Collisions","2006","January","Number","522"
"All Fatal and Injury Collisions","2006","February","Number","406"
"All Fatal and Injury Collisions","2006","March","Number","467"
"All Fatal and Injury Collisions","2006","April","Number","402"
"All Fatal and Injury Collisions","2006","May","Number","487"
"All Fatal and Injury Collisions","2006","June","Number","471"
"All Fatal and Injury Collisions","2006","July","Number","512"
"All Fatal and Injury Collisions","2006","August","Number","523"
"All Fatal and Injury Collisions","2006","September","Number","518"
"All Fatal and Injury Collisions","2006","October","Number","562"
"All Fatal and Injury Collisions","2006","November","Number","538"
"All Fatal and Injury Collisions","2006","December","Number","610"
"All Fatal and Injury Collisions","2007","All months","Number","5467"
"All Fatal and Injury Collisions","2007","January","Number","459"
"All Fatal and Injury Collisions","2007","February","Number","421"
"All Fatal and Injury Collisions","2007","March","Number","470"
"All Fatal and Injury Collisions","2007","April","Number","386"
"All Fatal and Injury Collisions","2007","May","Number","442"
"All Fatal and Injury Collisions","2007","June","Number","448"
"All Fatal and Injury Collisions","2007","July","Number","501"
