Statistic Label,Year,Seat Belt Usage,UNIT,VALUE
Users of Cars Injured in Collisions,2010,Car drivers: seat belt in use,Number,1890
Users of Cars Injured in Collisions,2010,Car drivers: seat belt not in use,Number,103
Users of Cars Injured in Collisions,2010,Car drivers: seat belt usage unknown,Number,1225
Users of Cars Injured in Collisions,2010,Car drivers: seat belt usage not stated,Number,288
Users of Cars Injured in Collisions,2010,All car drivers,Number,3506
Users of Cars Injured in Collisions,2010,Front seat passengers: seat belt in use,Number,761
Users of Cars Injured in Collisions,2010,Front seat passengers: seat belt not in use,Number,39
Users of Cars Injured in Collisions,2010,Front seat passengers: seat belt usage unknown,Number,398
Users of Cars Injured in Collisions,2010,Front seat passengers: seat belt usage not stated,Number,53
Users of Cars Injured in Collisions,2010,All front seat passengers,Number,1251
Users of Cars Injured in Collisions,2011,Car drivers: seat belt in use,Number,1638
Users of Cars Injured in Collisions,2011,Car drivers: seat belt not in use,Number,84
Users of Cars Injured in Collisions,2011,Car drivers: seat belt usage unknown,Number,972
Users of Cars Injured in Collisions,2011,Car drivers: seat belt usage not stated,Number,291
Users of Cars Injured in Collisions,2011,All car drivers,Number,2985
Users of Cars Injured in Collisions,2011,Front seat passengers: seat belt in use,Number,611
Users of Cars Injured in Collisions,2011,Front seat passengers: seat belt not in use,Number,42
Users of Cars Injured in Collisions,2011,Front seat passengers: seat belt usage unknown,Number,309
Users of Cars Injured in Collisions,2011,Front seat passengers: seat belt usage not stated,Number,58
Users of Cars Injured in Collisions,2011,All front seat passengers,Number,1020
Users of Cars Injured in Collisions,2012,Car drivers: seat belt in use,Number,1699
Users of Cars Injured in Collisions,2012,Car drivers: seat belt not in use,Number,88
Users of Cars Injured in Collisions,2012,Car drivers: seat belt usage unknown,Number,1193
Users of Cars Injured in Collisions,2012,Car drivers: seat belt usage not stated,Number,280
Users of Cars Injured in Collisions,2012,All car drivers,Number,3260
Users of Cars Injured in Collisions,2012,Front seat passengers: seat belt in use,Number,653
Users of Cars Injured in Collisions,2012,Front seat passengers: seat belt not in use,Number,30
Users of Cars Injured in Collisions,2012,Front seat passengers: seat belt usage unknown,Number,401
Users of Cars Injured in Collisions,2012,Front seat passengers: seat belt usage not stated,Number,52
Users of Cars Injured in Collisions,2012,All front seat passengers,Number,1136
Users of Cars Injured in Collisions,2013,Car drivers: seat belt in use,Number,1461
Users of Cars Injured in Collisions,2013,Car drivers: seat belt not in use,Number,58
Users of Cars Injured in Collisions,2013,Car drivers: seat belt usage unknown,Number,1043
Users of Cars Injured in Collisions,2013,Car drivers: seat belt usage not stated,Number,191
Users of Cars Injured in Collisions,2013,All car drivers,Number,2753
Users of Cars Injured in Collisions,2013,Front seat passengers: seat belt in use,Number,518
Users of Cars Injured in Collisions,2013,Front seat passengers: seat belt not in use,Number,33
Users of Cars Injured in Collisions,2013,Front seat passengers: seat belt usage unknown,Number,327
Users of Cars Injured in Collisions,2013,Front seat passengers: seat belt usage not stated,Number,40
Users of Cars Injured in Collisions,2013,All front seat passengers,Number,918
Users of Cars Injured in Collisions,2014,Car drivers: seat belt in use,Number,1759
Users of Cars Injured in Collisions,2014,Car drivers: seat belt not in use,Number,88
Users of Cars Injured in Collisions,2014,Car drivers: seat belt usage unknown,Number,1260
Users of Cars Injured in Collisions,2014,Car drivers: seat belt usage not stated,Number,10
Users of Cars Injured in Collisions,2014,All car drivers,Number,3117
Users of Cars Injured in Collisions,2014,Front seat passengers: seat belt in use,Number,596
Users of Cars Injured in Collisions,2014,Front seat passengers: seat belt not in use,Number,40
Users of Cars Injured in Collisions,2014,Front seat passengers: seat belt usage unknown,Number,427
Users of Cars Injured in Collisions,2014,Front seat passengers: seat belt usage not stated,Number,4
Users of Cars Injured in Collisions,2014,All front seat passengers,Number,1067
Users of Cars Injured in Collisions,2015,Car drivers: seat belt in use,Number,1811
Users of Cars Injured in Collisions,2015,Car drivers: seat belt not in use,Number,88
Users of Cars Injured in Collisions,2015,Car drivers: seat belt usage unknown,Number,1132
Users of Cars Injured in Collisions,2015,Car drivers: seat belt usage not stated,Number,10
Users of Cars Injured in Collisions,2015,All car drivers,Number,3041
Users of Cars Injured in Collisions,2015,Front seat passengers: seat belt in use,Number,602
Users of Cars Injured in Collisions,2015,Front seat passengers: seat belt not in use,Number,37
Users of Cars Injured in Collisions,2015,Front seat passengers: seat belt usage unknown,Number,351
Users of Cars Injured in Collisions,2015,Front seat passengers: seat belt usage not stated,Number,4
Users of Cars Injured in Collisions,2015,All front seat passengers,Number,994
Users of Cars Injured in Collisions,2016,Car drivers: seat belt in use,Number,2282
Users of Cars Injured in Collisions,2016,Car drivers: seat belt not in use,Number,105
Users of Cars Injured in Collisions,2016,Car drivers: seat belt usage unknown,Number,643
Users of Cars Injured in Collisions,2016,Car drivers: seat belt usage not stated,Number,0
Users of Cars Injured in Collisions,2016,All car drivers,Number,3030
Users of Cars Injured in Collisions,2016,Front seat passengers: seat belt in use,Number,678
Users of Cars Injured in Collisions,2016,Front seat passengers: seat belt not in use,Number,33
Users of Cars Injured in Collisions,2016,Front seat passengers: seat belt usage unknown,Number,205
Users of Cars Injured in Collisions,2016,Front seat passengers: seat belt usage not stated,Number,0
