"Statistic Label","Year","Age Group","Sex","Road User Type","UNIT","VALUE"
"Killed Casualties","2006","35 - 44 years","Male","Pedal cyclists","Number","1"
"Killed Casualties","2006","35 - 44 years","Male","Motor cyclists","Number","6"
"Killed Casualties","2006","35 - 44 years","Male","All Car users","Number","13"
"Killed Casualties","2006","35 - 44 years","Male","Car drivers","Number","11"
"Killed Casualties","2006","35 - 44 years","Male","Car passengers","Number","2"
"Killed Casualties","2006","35 - 44 years","Male","Other road users","Number","4"
"Killed Casualties","2006","35 - 44 years","Female","All road users","Number","8"
"Killed Casualties","2006","35 - 44 years","Female","Pedestrians","Number","1"
"Killed Casualties","2006","35 - 44 years","Female","Pedal cyclists","Number","0"
"Killed Casualties","2006","35 - 44 years","Female","Motor cyclists","Number","1"
"Killed Casualties","2006","35 - 44 years","Female","All Car users","Number","6"
"Killed Casualties","2006","35 - 44 years","Female","Car drivers","Number","4"
"Killed Casualties","2006","35 - 44 years","Female","Car passengers","Number","2"
"Killed Casualties","2006","35 - 44 years","Female","Other road users","Number","0"
"Killed Casualties","2006","45 - 54 years","Male","All road users","Number","17"
"Killed Casualties","2006","45 - 54 years","Male","Pedestrians","Number","3"
"Killed Casualties","2006","45 - 54 years","Male","Pedal cyclists","Number","2"
"Killed Casualties","2006","45 - 54 years","Male","Motor cyclists","Number","2"
"Killed Casualties","2006","45 - 54 years","Male","All Car users","Number","7"
"Killed Casualties","2006","45 - 54 years","Male","Car drivers","Number","4"
"Killed Casualties","2006","45 - 54 years","Male","Car passengers","Number","3"
"Killed Casualties","2006","45 - 54 years","Male","Other road users","Number","3"
"Killed Casualties","2006","45 - 54 years","Female","All road users","Number","5"
"Killed Casualties","2006","45 - 54 years","Female","Pedestrians","Number","0"
"Killed Casualties","2006","45 - 54 years","Female","Pedal cyclists","Number","0"
"Killed Casualties","2006","45 - 54 years","Female","Motor cyclists","Number","1"
"Killed Casualties","2006","45 - 54 years","Female","All Car users","Number","4"
"Killed Casualties","2006","45 - 54 years","Female","Car drivers","Number","2"
"Killed Casualties","2006","45 - 54 years","Female","Car passengers","Number","2"
"Killed Casualties","2006","45 - 54 years","Female","Other road users","Number","0"
"Killed Casualties","2006","55 - 64 years","Male","All road users","Number","23"
"Killed Casualties","2006","55 - 64 years","Male","Pedestrians","Number","8"
"Killed Casualties","2006","55 - 64 years","Male","Pedal cyclists","Number","2"
"Killed Casualties","2006","55 - 64 years","Male","Motor cyclists","Number","2"
"Killed Casualties","2006","55 - 64 years","Male","All Car users","Number","8"
"Killed Casualties","2006","55 - 64 years","Male","Car drivers","Number","8"
"Killed Casualties","2006","55 - 64 years","Male","Car passengers","Number","0"
"Killed Casualties","2006","55 - 64 years","Male","Other road users","Number","3"
"Killed Casualties","2006","55 - 64 years","Female","All road users","Number","5"
"Killed Casualties","2006","55 - 64 years","Female","Pedestrians","Number","0"
"Killed Casualties","2006","55 - 64 years","Female","Pedal cyclists","Number","0"
"Killed Casualties","2006","55 - 64 years","Female","Motor cyclists","Number","0"
"Killed Casualties","2006","55 - 64 years","Female","All Car users","Number","5"
"Killed Casualties","2006","55 - 64 years","Female","Car drivers","Number","2"
"Killed Casualties","2006","55 - 64 years","Female","Car passengers","Number","3"
"Killed Casualties","2006","55 - 64 years","Female","Other road users","Number","0"
"Killed Casualties","2006","65 years and over","Male","All road users","Number","31"
"Killed Casualties","2006","65 years and over","Male","Pedestrians","Number","14"
"Killed Casualties","2006","65 years and over","Male","Pedal cyclists","Number","0"
"Killed Casualties","2006","65 years and over","Male","Motor cyclists","Number","0"
"Killed Casualties","2006","65 years and over","Male","All Car users","Number","13"
"Killed Casualties","2006","65 years and over","Male","Car drivers","Number","13"
"Killed Casualties","2006","65 years and over","Male","Car passengers","Number","0"
"Killed Casualties","2006","65 years and over","Male","Other road users","Number","4"
"Killed Casualties","2006","65 years and over","Female","All road users","Number","32"
"Killed Casualties","2006","65 years and over","Female","Pedestrians","Number","15"
"Killed Casualties","2006","65 years and over","Female","Pedal cyclists","Number","0"
"Killed Casualties","2006","65 years and over","Female","Motor cyclists","Number","0"
"Killed Casualties","2006","65 years and over","Female","All Car users","Number","16"
"Killed Casualties","2006","65 years and over","Female","Car drivers","Number","12"
"Killed Casualties","2006","65 years and over","Female","Car passengers","Number","4"
